Još jedna. Nemoguće.	20
Mogla bih se zakleti da je nije bilo prošli tjedan…	51
Primakla sam se bliže zrcalu podozrivo motreći tanku brazdu koja se račvala na koži ispod donjeg kapka.	103
E, ovo je sad prava nožica.	27
Ptičja nožica kakav ljupki naziv za tako ružnu stvar.	53
Oprezno sam nakrivila glavu na jednu, pa na drugu stranu, a zatim se približila neonskoj lampi ne ispuštajući ni za trenutak iz vida neželjenog pridošlicu.	155
Prstom sam polako prešla duž vijugave crte koja je, poput rijeke koja meandrira, napuštala svoj glavni tok granajući se u nekoliko smjerova.	140
Kako se ovo zove? KAKO SE OVO ZOVE?	35
Rijeka me… me… Petra, kažemo da rijeka što?	43
Meandri. Meandrira.	19
Godinama se nisam sjetila tog izraza.	37
Čak se ne sjećam ni da smo ga spominjali na zemljopisu.	55
Tatino savršeno dijete.	23
Mamino nikad dovoljno savršeno dijete.	38
Pametna curica je u svojoj sedmoj godini naučila da se plavičasti riječni kraci koji vijugaju poljem zovu meandri.	114
Kad bismo pokraj njih prolazili autom, to je značilo da ima još samo malo do bake.	82
Zato sam ih voljela, te meandre, a i zato što bih znala odgovoriti na pitanje, pa bi se tata opet mogao bezbrižno prepustiti svojoj odsutnosti.	143
Tko bi rekao da ću ih sada gledati s ovakvom tugom…Meandre na zemljovidu moje mladosti.	87
Sat u plastičnoj vodootpornoj ribici koja je visjela kraj zrcala pokazivao je sedam i trideset.	95
Nekako je tužno ustati rano na svoj rođendan, a pogotovo na slobodan dan koji sam čekala mjesecima.	99
Ali eto, tu sam, i ne mogu se pretvarati da je jutro savršeno za izležavanje i čitanje novina.	94
Vani se magla lijepila na prozorsko staklo čineći pravilnu nebodersku arhitekturu nestvarnom i natapajući moju malu kuhinju prigušenim mliječnim svjetlom.	154
Čak ni ovo vrijeme stvoreno da muti misli nije mi moglo pomoći suočavanje s današnjim danom nijemo je čekalo.	109
Marko će vjerojatno zvati oko devet.	36
Doći će na posao u osam, obaviti najnužnije za početak radnog dana, a tek si onda dopustiti da popije kavu.	107
Zatim će procijeniti realno vrijeme kad bih mogla biti budna s obzirom na to da mi je rođendan.	95
Znači, imam još malo manje od sat i pol.	40
Pa dobro… Skuhat ću si veliku kavu i dugo čitati novine na miru.	64
“Jesam li vas probudio, gospođo?” pitao me maloprije onaj dečko što donosi novine.	82
Kao da sam danas potpuno gola, izložena, i ne mogu pobjeći pogledima koji me razotkrivaju bez milosti.	102
Gospođo, baš je tako rekao…	27
Koliko bi on mogao imati?	25
Dvadeset, dvadeset jednu?	25
Uostalom, sama sam kriva.	25
Mogla bih ujutro sići i kupiti novine kao i svi drugi ljudi.	60
Mama će sigurno nazvati rano.	29
Za razliku od Marka, ona će procijeniti realno vrijeme kada bi jedna buduća supruga i majka trebala biti na nogama i uvježbavati svoju životnu rolu vođenja domaćinstva.	168
Usput će malo ispipati što se događa na tom planu i ispričati mi sve novosti iz svog dosadnog života.	101
Usred savjeta i uputa kako biti domaćica ubacit će, onako uzgred, da me tata pozdravlja ili nešto slično.	105
Tata ti nikad neće oprostiti.	29
Sa slike se smiješila žena otmjena izgleda, a iznad nje je vrištao naslov MAJKA U ČETRDESETOJ!!!	96
Žena izgleda krasno, ali ipak bi se trebalo malo zamisliti oko uskličnika.	74
Mislim da ljudi općenito malo paze na te stvari.	48
Male stvari su važne.	21
Majka u četrdesetoj.	20
(Lijepo.) Majka u četrdesetoj?	30
(Zar već majka?) Ali majka u četrdesetoj!	41
Bitne poruke u gotovo neprimjetnoj crtici s točkom.	51
Ove zime se nosi bijelo.	24
Ultrakratke minice u kombinaciji s visokim čizmama.	51
Manekenka od petnaest godina zavjerenički se smiješi u krupnom planu: RECITE ZBOGOM BORAMA.	91
Nisam raspoložena za politiku, crnu kroniku, oglase.	52
Ne, neću ništa. Sad ne mogu ništa.	34
Da odem sad? Čini se da je vani užasno.	39
Ljudi kao rijetki mravi sitnim koracima grabe prema tramvajskoj stanici.	72
Jedna se žena poskliznula i pala.	33
Tri su se muškarca izdvojila i počela vrzmati oko nje, i sami se spotičući na skliskom tlu.	91
Ostali na stanici, zagnjureni u svoje misli i kapute, lagano su suzili krug oko mjesta događaja.	96
Kad se žena uspravila, one su se tri prilike polako odmaknule, kao da im je neugodno što su impulzivnom reakcijom isprepleli svoju putanju s potpunim strancima.	160
Promatrači su sućutno i dostojanstveno zauzeli svoje prijašnje pozicije, izgledajući zahvalni što nisu bili protagonisti nečije jutarnje priče.	143
Ne znam zašto sam osjetila zadovoljstvo, možda čak zahvalnost, zbog ove male nezgode.	85
I dalje stojim na prozoru očekujući nešto, neku priliku koju ću ščepati i prevrtati je po mislima.	98
